"Index","LandAverageTemperature"
"Mar 1819",2.931
"Apr 1819",7.029
"May 1819",9.851
"Jun 1819",12.526
"Jul 1819",13.038
"Aug 1819",12.557
"Sep 1819",10.894
"Oct 1819",9.312
"Nov 1819",5.15
"Dec 1819",1.842
"Jan 1820",1.236
"Feb 1820",2.145
"Mar 1820",4.618
"Apr 1820",8.7
"May 1820",11.62
"Jun 1820",13.323
"Jul 1820",13.311
"Aug 1820",11.978
"Sep 1820",11.16
"Oct 1820",7.588
"Nov 1820",4.443
"Dec 1820",1.273
"Jan 1821",2.999
"Feb 1821",3.758
"Mar 1821",5.462
"Apr 1821",7.739
"May 1821",11.3
"Jun 1821",12.608
"Jul 1821",13.039
"Aug 1821",13.145
"Sep 1821",10.178
"Oct 1821",8.535
"Nov 1821",5.601
"Dec 1821",2.717
"Jan 1822",2.759
"Feb 1822",4.465
"Mar 1822",7.787
"Apr 1822",8.278
"May 1822",10.486
"Jun 1822",13.067
"Jul 1822",14.212
"Aug 1822",13.215
"Sep 1822",10.695
"Oct 1822",7.774
"Nov 1822",4.501
"Dec 1822",1.021
"Jan 1823",1.758
"Feb 1823",1.966
"Mar 1823",5.068
"Apr 1823",7.665
"May 1823",10.563
"Jun 1823",13.958
"Jul 1823",14.197
"Aug 1823",13.13
"Sep 1823",10.198
"Oct 1823",7.642
"Nov 1823",4.508
"Dec 1823",1.971
"Jan 1824",2.651
"Feb 1824",2.679
"Mar 1824",5.357
"Apr 1824",8.375
"May 1824",11.132
"Jun 1824",13.427
"Jul 1824",14.83
"Aug 1824",13.437
"Sep 1824",11.528
"Oct 1824",8.197
"Nov 1824",5.877
"Dec 1824",5.076
"Jan 1825",3.213
"Feb 1825",3.092
"Mar 1825",5.365
"Apr 1825",8.988
"May 1825",10.751
"Jun 1825",13.765
"Jul 1825",14.007
"Aug 1825",13.269
"Sep 1825",11.148
"Oct 1825",7.979
"Nov 1825",6.058
"Dec 1825",3.037
"Jan 1826",1.893
"Feb 1826",1.533
"Mar 1826",4.888
"Apr 1826",8.403
"May 1826",11.804
"Jun 1826",13.02
"Jul 1826",14.482
"Aug 1826",13.109
"Sep 1826",11.178
"Oct 1826",8.459
"Nov 1826",6.634
"Dec 1826",4.876
"Jan 1827",3.593
"Feb 1827",4.415
"Mar 1827",6.141
"Apr 1827",9.429
"May 1827",11.807
"Jun 1827",13.548
"Jul 1827",14.684
"Aug 1827",13.694
"Sep 1827",10.883
"Oct 1827",8.51
"Nov 1827",6.279
"Dec 1827",2.722
"Jan 1828",0.595
"Feb 1828",1.853
"Mar 1828",5.729
"Apr 1828",8.737
"May 1828",11.281
"Jun 1828",14.124
"Jul 1828",14.384
"Aug 1828",13.635
"Sep 1828",10.08
"Oct 1828",8.656
"Nov 1828",5.957
"Dec 1828",2.953
"Jan 1829",2.032
"Feb 1829",1.715
"Mar 1829",5.061
"Apr 1829",7.815
"May 1829",11.336
"Jun 1829",12.86
"Jul 1829",14.225
"Aug 1829",13.399
"Sep 1829",10.598
"Oct 1829",8.806
"Nov 1829",5.003
"Dec 1829",2.452
"Jan 1830",2.957
"Feb 1830",4.085
"Mar 1830",4.454
"Apr 1830",8.841
"May 1830",10.202
"Jun 1830",12.827
"Jul 1830",14.942
"Aug 1830",13.386
